_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
165,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ALASSIO,10
166,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ALBENGA,20
167,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ALBISSOLA MARINA,30
168,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ALBISOLA SUPERIORE,40
169,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ALTARE,50
170,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ANDORA,60
171,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ARNASCO,70
172,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BALESTRINO,80
173,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BARDINETO,90
174,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BERGEGGI,100
175,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BOISSANO,110
176,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BORGHETTO SANTO SPIRITO,120
177,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BORGIO VEREZZI,130
178,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,BORMIDA,140
179,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CAIRO MONTENOTTE,150
180,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CALICE LIGURE,160
181,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CALIZZANO,170
182,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CARCARE,180
183,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CASANOVA LERRONE,190
184,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CASTELBIANCO,200
185,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CASTELVECCHIO DI ROCCA BARBENA,210
186,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CELLE LIGURE,220
187,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CENGIO,230
188,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CERIALE,240
189,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,CISANO SUL NEVA,250
190,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,COSSERIA,260
191,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,DEGO,270
192,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ERLI,280
193,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,FINALE LIGURE,290
194,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,GARLENDA,300
195,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,GIUSTENICE,310
196,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,GIUSVALLA,320
197,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,LAIGUEGLIA,330
198,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,LOANO,340
199,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MAGLIOLO,350
200,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MALLARE,360
201,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MASSIMINO,370
202,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MILLESIMO,380
203,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MIOGLIA,390
204,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,MURIALDO,400
205,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,NASINO,410
206,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,NOLI,420
207,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ONZO,430
208,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ORCO FEGLINO,440
209,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ORTOVERO,450
210,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,OSIGLIA,460
211,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,PALLARE,470
212,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,PIANA CRIXIA,480
213,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,PIETRA LIGURE,490
214,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,PLODIO,500
215,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,PONTINVREA,510
216,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,QUILIANO,520
217,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,RIALTO,530
218,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ROCCAVIGNALE,540
219,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,SASSELLO,550
220,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,SAVONA,560
221,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,SPOTORNO,570
222,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,STELLA,580
223,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,STELLANELLO,590
224,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,TESTICO,600
225,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,TOIRANO,610
226,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,TOVO SAN GIACOMO,620
227,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,URBE,630
228,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,VADO LIGURE,640
229,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,VARAZZE,650
230,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,VENDONE,660
231,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,VEZZI PORTIO,670
232,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,VILLANOVA D'ALBENGA,680
233,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,SAVONA,74,SAVONA,74,ZUCCARELLO,690
