_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
19,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,CROCEFIESCHI,200
20,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,DAVAGNA,210
21,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,FASCIA,220
22,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,FAVALE DI MALVARO,230
23,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,FONTANIGORDA,240
24,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,GENOVA,250
25,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,GORRETO,260
26,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,ISOLA DEL CANTONE,270
27,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,LAVAGNA,280
28,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,LEIVI,290
29,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,LORSICA,300
30,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,LUMARZO,310
31,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MASONE,320
32,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MELE,330
33,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MEZZANEGO,340
34,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MIGNANEGO,350
35,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MOCONESI,360
36,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MONEGLIA,370
37,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MONTEBRUNO,380
38,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,MONTOGGIO,390
39,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,NE,400
40,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,NEIRONE,410
41,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,ORERO,420
42,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,PIEVE LIGURE,430
43,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,PORTOFINO,440
44,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,PROPATA,450
45,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,RAPALLO,460
46,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,RECCO,470
47,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,REZZOAGLIO,480
48,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,RONCO SCRIVIA,490
49,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,RONDANINA,500
50,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,ROSSIGLIONE,510
51,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,ROVEGNO,520
52,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SAN COLOMBANO CERTENOLI,530
53,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SANTA MARGHERITA LIGURE,540
54,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SANT'OLCESE,550
55,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SANTO STEFANO D'AVETO,560
56,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SAVIGNONE,570
57,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SERRA RICCO',580
58,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SESTRI LEVANTE,590
59,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,SORI,600
60,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,TIGLIETO,610
61,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,TORRIGLIA,620
62,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,TRIBOGNA,630
63,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,USCIO,640
