_link,_link_main,cod,desc,img_lis_c,sez_perv,sez_tot
1.liste.3,1,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,3
1.liste.4,1,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,3
1.liste.5,1,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,3
1.liste.6,1,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,3
1.liste.7,1,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,3
1.liste.8,1,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,3
1.liste.9,1,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,3
1.liste.10,1,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,3
1.liste.11,1,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,3
1.liste.12,1,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,3
1.liste.13,1,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,3
1.liste.14,1,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,3
1.liste.15,1,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,3
1.liste.16,1,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,3
1.liste.17,1,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,3
1.liste.18,1,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,3
1.liste.19,1,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,3
2.liste.0,2,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,4
2.liste.1,2,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,4
2.liste.2,2,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,4
2.liste.3,2,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,4
2.liste.4,2,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,4
2.liste.5,2,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,4
2.liste.6,2,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,4
2.liste.7,2,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,4
2.liste.8,2,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,4
2.liste.9,2,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,4
2.liste.10,2,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,4
2.liste.11,2,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,4
2.liste.12,2,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,4
2.liste.13,2,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,4
2.liste.14,2,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,4
2.liste.15,2,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,4
2.liste.16,2,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,4
2.liste.17,2,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,4
2.liste.18,2,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,4
2.liste.19,2,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,4
3.liste.0,3,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,4
3.liste.1,3,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,4
3.liste.2,3,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,4
3.liste.3,3,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,4
3.liste.4,3,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,4
3.liste.5,3,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,4
3.liste.6,3,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,4
3.liste.7,3,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,4
3.liste.8,3,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,4
3.liste.9,3,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,4
3.liste.10,3,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,4
3.liste.11,3,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,4
3.liste.12,3,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,4
3.liste.13,3,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,4
3.liste.14,3,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,4
3.liste.15,3,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,4
3.liste.16,3,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,4
3.liste.17,3,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,4
3.liste.18,3,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,4
3.liste.19,3,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,4
4.liste.0,4,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,3
4.liste.1,4,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,3
4.liste.2,4,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,3
4.liste.3,4,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,3
4.liste.4,4,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,3
4.liste.5,4,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,3
4.liste.6,4,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,3
4.liste.7,4,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,3
4.liste.8,4,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,3
4.liste.9,4,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,3
4.liste.10,4,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,3
4.liste.11,4,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,3
4.liste.12,4,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,3
4.liste.13,4,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,3
4.liste.14,4,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,3
4.liste.15,4,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,3
4.liste.16,4,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,3
4.liste.17,4,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,3
4.liste.18,4,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,3
4.liste.19,4,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,3
5.liste.0,5,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,7
5.liste.1,5,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,7
5.liste.2,5,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,7
5.liste.3,5,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,7
5.liste.4,5,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,7
5.liste.5,5,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,7
5.liste.6,5,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,7
5.liste.7,5,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,7
5.liste.8,5,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,7
5.liste.9,5,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,7
5.liste.10,5,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,7
5.liste.11,5,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,7
5.liste.12,5,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,7
5.liste.13,5,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,7
5.liste.14,5,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,7
5.liste.15,5,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,7
5.liste.16,5,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,7
5.liste.17,5,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,7
5.liste.18,5,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,7
5.liste.19,5,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,7
6.liste.0,6,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,7
6.liste.1,6,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,7
6.liste.2,6,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,7
6.liste.3,6,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,7
6.liste.4,6,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,7
6.liste.5,6,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,7
6.liste.6,6,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,7
6.liste.7,6,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,7
6.liste.8,6,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,7
6.liste.9,6,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,7
6.liste.10,6,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,7
6.liste.11,6,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,7
6.liste.12,6,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,7
6.liste.13,6,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,7
6.liste.14,6,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,7
6.liste.15,6,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,7
6.liste.16,6,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,7
6.liste.17,6,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,7
6.liste.18,6,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,7
6.liste.19,6,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,7
7.liste.0,7,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,3
7.liste.1,7,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,3
7.liste.2,7,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,3
7.liste.3,7,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,3
7.liste.4,7,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,3
7.liste.5,7,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,3
7.liste.6,7,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,3
7.liste.7,7,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,3
7.liste.8,7,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,3
7.liste.9,7,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,3
7.liste.10,7,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,3
7.liste.11,7,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,3
7.liste.12,7,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,3
7.liste.13,7,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,3
7.liste.14,7,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,3
7.liste.15,7,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,3
7.liste.16,7,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,3
7.liste.17,7,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,3
7.liste.18,7,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,3
7.liste.19,7,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,3
8.liste.0,8,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,9
8.liste.1,8,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,9
8.liste.2,8,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,9
8.liste.3,8,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,9
8.liste.4,8,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,9
8.liste.5,8,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,9
8.liste.6,8,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,9
8.liste.7,8,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,9
8.liste.8,8,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,9
8.liste.9,8,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,9
8.liste.10,8,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,9
8.liste.11,8,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,9
8.liste.12,8,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,9
8.liste.13,8,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,9
8.liste.14,8,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,9
8.liste.15,8,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,9
8.liste.16,8,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,9
8.liste.17,8,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,9
8.liste.18,8,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,9
8.liste.19,8,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,9
9.liste.0,9,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,4
9.liste.1,9,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,4
9.liste.2,9,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,4
9.liste.3,9,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,4
9.liste.4,9,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,4
9.liste.5,9,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,4
9.liste.6,9,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,4
9.liste.7,9,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,4
9.liste.8,9,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,4
9.liste.9,9,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,4
9.liste.10,9,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,4
9.liste.11,9,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,4
9.liste.12,9,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,4
9.liste.13,9,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,4
9.liste.14,9,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,4
9.liste.15,9,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,4
9.liste.16,9,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,4
9.liste.17,9,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,4
9.liste.18,9,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,4
9.liste.19,9,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,4
10.liste.0,10,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,6
10.liste.1,10,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,6
10.liste.2,10,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,6
10.liste.3,10,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,6
10.liste.4,10,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,6
10.liste.5,10,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,6
10.liste.6,10,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,6
10.liste.7,10,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,6
10.liste.8,10,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,6
10.liste.9,10,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,6
10.liste.10,10,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,6
10.liste.11,10,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,6
10.liste.12,10,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,6
10.liste.13,10,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,6
10.liste.14,10,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,6
10.liste.15,10,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,6
10.liste.16,10,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,6
10.liste.17,10,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,6
10.liste.18,10,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,6
10.liste.19,10,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,6
11.liste.0,11,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,3
11.liste.1,11,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,3
11.liste.2,11,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,3
11.liste.3,11,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,3
11.liste.4,11,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,3
11.liste.5,11,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,3
