_link,_link_cand,_link_main,pos,desc_lis_c,img_lis_c,voti,perc
1.cand.1.liste.1,1.cand.1,1,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,61,11.51
1.cand.1.liste.2,1.cand.1,1,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,44,8.30
1.cand.1.liste.3,1.cand.1,1,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,39,7.36
1.cand.1.liste.4,1.cand.1,1,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,12,2.26
1.cand.1.liste.5,1.cand.1,1,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,2,0.38
1.cand.1.liste.6,1.cand.1,1,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,2,0.38
1.cand.2.liste.0,1.cand.2,1,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,11,2.08
1.cand.3.liste.0,1.cand.3,1,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,5,0.94
1.cand.4.liste.0,1.cand.4,1,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,5,0.94
1.cand.5.liste.0,1.cand.5,1,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,3,0.57
1.cand.6.liste.0,1.cand.6,1,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.19
1.cand.7.liste.0,1.cand.7,1,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
1.cand.8.liste.0,1.cand.8,1,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
2.cand.0.liste.0,2.cand.0,2,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,74,14.77
2.cand.0.liste.1,2.cand.0,2,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,73,14.57
2.cand.0.liste.2,2.cand.0,2,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,48,9.58
2.cand.0.liste.3,2.cand.0,2,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,24,4.79
2.cand.0.liste.4,2.cand.0,2,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,22,4.39
2.cand.0.liste.5,2.cand.0,2,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,10,2.00
2.cand.0.liste.6,2.cand.0,2,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,2,0.40
2.cand.1.liste.0,2.cand.1,2,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,120,23.95
2.cand.1.liste.1,2.cand.1,2,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,58,11.58
2.cand.1.liste.2,2.cand.1,2,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,26,5.19
2.cand.1.liste.3,2.cand.1,2,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,24,4.79
2.cand.1.liste.4,2.cand.1,2,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,11,2.20
2.cand.1.liste.5,2.cand.1,2,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,5,1.00
2.cand.2.liste.0,2.cand.2,2,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,2,0.40
2.cand.3.liste.0,2.cand.3,2,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
2.cand.4.liste.0,2.cand.4,2,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,1,0.20
2.cand.5.liste.0,2.cand.5,2,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
2.cand.6.liste.0,2.cand.6,2,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,1,0.20
2.cand.7.liste.0,2.cand.7,2,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
2.cand.8.liste.0,2.cand.8,2,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
3.cand.0.liste.0,3.cand.0,3,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,169,28.79
3.cand.0.liste.1,3.cand.0,3,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,73,12.44
3.cand.0.liste.2,3.cand.0,3,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,34,5.79
3.cand.0.liste.3,3.cand.0,3,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,16,2.73
3.cand.0.liste.4,3.cand.0,3,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,9,1.53
3.cand.0.liste.5,3.cand.0,3,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,9,1.53
3.cand.1.liste.0,3.cand.1,3,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,77,13.12
3.cand.1.liste.1,3.cand.1,3,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,65,11.07
3.cand.1.liste.2,3.cand.1,3,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,53,9.03
3.cand.1.liste.3,3.cand.1,3,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,39,6.64
3.cand.1.liste.4,3.cand.1,3,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,19,3.24
3.cand.1.liste.5,3.cand.1,3,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,7,1.19
3.cand.1.liste.6,3.cand.1,3,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,6,1.02
3.cand.2.liste.0,3.cand.2,3,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,3,0.51
3.cand.3.liste.0,3.cand.3,3,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,3,0.51
3.cand.4.liste.0,3.cand.4,3,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,1,0.17
3.cand.5.liste.0,3.cand.5,3,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
3.cand.6.liste.0,3.cand.6,3,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,1,0.17
3.cand.7.liste.0,3.cand.7,3,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,1,0.17
3.cand.8.liste.0,3.cand.8,3,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,2,0.34
4.cand.0.liste.0,4.cand.0,4,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,183,36.97
4.cand.0.liste.1,4.cand.0,4,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,60,12.12
4.cand.0.liste.2,4.cand.0,4,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,20,4.04
4.cand.0.liste.3,4.cand.0,4,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,19,3.84
4.cand.0.liste.4,4.cand.0,4,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,9,1.82
4.cand.0.liste.5,4.cand.0,4,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,1,0.20
4.cand.1.liste.0,4.cand.1,4,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,49,9.90
4.cand.1.liste.1,4.cand.1,4,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,46,9.29
4.cand.1.liste.2,4.cand.1,4,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,42,8.48
4.cand.1.liste.3,4.cand.1,4,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,33,6.67
4.cand.1.liste.4,4.cand.1,4,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,19,3.84
4.cand.1.liste.5,4.cand.1,4,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,10,2.02
4.cand.1.liste.6,4.cand.1,4,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,1,0.20
4.cand.2.liste.0,4.cand.2,4,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,2,0.40
4.cand.3.liste.0,4.cand.3,4,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
4.cand.4.liste.0,4.cand.4,4,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
4.cand.5.liste.0,4.cand.5,4,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,1,0.20
4.cand.6.liste.0,4.cand.6,4,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
4.cand.7.liste.0,4.cand.7,4,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
4.cand.8.liste.0,4.cand.8,4,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
5.cand.0.liste.0,5.cand.0,5,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,83,13.95
5.cand.0.liste.1,5.cand.0,5,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,83,13.95
5.cand.0.liste.2,5.cand.0,5,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,58,9.75
5.cand.0.liste.3,5.cand.0,5,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,48,8.07
5.cand.0.liste.4,5.cand.0,5,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,34,5.71
5.cand.0.liste.5,5.cand.0,5,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,8,1.34
5.cand.0.liste.6,5.cand.0,5,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,2,0.34
5.cand.1.liste.0,5.cand.1,5,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,143,24.03
5.cand.1.liste.1,5.cand.1,5,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,51,8.57
5.cand.1.liste.2,5.cand.1,5,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,25,4.20
5.cand.1.liste.3,5.cand.1,5,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,22,3.70
5.cand.1.liste.4,5.cand.1,5,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,15,2.52
5.cand.1.liste.5,5.cand.1,5,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,7,1.18
5.cand.2.liste.0,5.cand.2,5,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,6,1.01
5.cand.3.liste.0,5.cand.3,5,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,6,1.01
5.cand.4.liste.0,5.cand.4,5,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,2,0.34
5.cand.5.liste.0,5.cand.5,5,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,1,0.17
5.cand.6.liste.0,5.cand.6,5,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,1,0.17
5.cand.7.liste.0,5.cand.7,5,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
5.cand.8.liste.0,5.cand.8,5,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
6.cand.0.liste.0,6.cand.0,6,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,72,14.20
6.cand.0.liste.1,6.cand.0,6,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,62,12.23
6.cand.0.liste.2,6.cand.0,6,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,52,10.26
6.cand.0.liste.3,6.cand.0,6,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,35,6.90
6.cand.0.liste.4,6.cand.0,6,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,24,4.73
6.cand.0.liste.5,6.cand.0,6,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,7,1.38
6.cand.0.liste.6,6.cand.0,6,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,1,0.20
6.cand.1.liste.0,6.cand.1,6,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,145,28.60
6.cand.1.liste.1,6.cand.1,6,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,48,9.47
6.cand.1.liste.2,6.cand.1,6,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,21,4.14
6.cand.1.liste.3,6.cand.1,6,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,16,3.16
6.cand.1.liste.4,6.cand.1,6,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,10,1.97
6.cand.1.liste.5,6.cand.1,6,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,7,1.38
6.cand.2.liste.0,6.cand.2,6,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,3,0.59
6.cand.3.liste.0,6.cand.3,6,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,2,0.39
6.cand.4.liste.0,6.cand.4,6,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,1,0.20
6.cand.5.liste.0,6.cand.5,6,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,1,0.20
6.cand.6.liste.0,6.cand.6,6,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
6.cand.7.liste.0,6.cand.7,6,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
6.cand.8.liste.0,6.cand.8,6,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
7.cand.0.liste.0,7.cand.0,7,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,146,30.42
7.cand.0.liste.1,7.cand.0,7,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,72,15.00
7.cand.0.liste.2,7.cand.0,7,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,25,5.21
7.cand.0.liste.3,7.cand.0,7,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,19,3.96
7.cand.0.liste.4,7.cand.0,7,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,11,2.29
7.cand.0.liste.5,7.cand.0,7,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,6,1.25
7.cand.1.liste.0,7.cand.1,7,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,48,10.00
7.cand.1.liste.1,7.cand.1,7,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,46,9.58
7.cand.1.liste.2,7.cand.1,7,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,44,9.17
7.cand.1.liste.3,7.cand.1,7,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,26,5.42
7.cand.1.liste.4,7.cand.1,7,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,16,3.33
7.cand.1.liste.5,7.cand.1,7,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,10,2.08
7.cand.1.liste.6,7.cand.1,7,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,2,0.42
7.cand.2.liste.0,7.cand.2,7,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,5,1.04
7.cand.3.liste.0,7.cand.3,7,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,1,0.21
7.cand.4.liste.0,7.cand.4,7,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,2,0.42
7.cand.5.liste.0,7.cand.5,7,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
7.cand.6.liste.0,7.cand.6,7,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
7.cand.7.liste.0,7.cand.7,7,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,1,0.21
7.cand.8.liste.0,7.cand.8,7,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
8.cand.0.liste.0,8.cand.0,8,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,160,28.27
8.cand.0.liste.1,8.cand.0,8,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,89,15.72
8.cand.0.liste.2,8.cand.0,8,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,26,4.59
8.cand.0.liste.3,8.cand.0,8,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,26,4.59
8.cand.0.liste.4,8.cand.0,8,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,13,2.30
8.cand.0.liste.5,8.cand.0,8,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,9,1.59
8.cand.1.liste.0,8.cand.1,8,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,60,10.60
8.cand.1.liste.1,8.cand.1,8,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,53,9.36
8.cand.1.liste.2,8.cand.1,8,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,39,6.89
8.cand.1.liste.3,8.cand.1,8,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,39,6.89
8.cand.1.liste.4,8.cand.1,8,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,20,3.53
8.cand.1.liste.5,8.cand.1,8,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,11,1.94
8.cand.1.liste.6,8.cand.1,8,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,1,0.18
8.cand.2.liste.0,8.cand.2,8,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,10,1.77
8.cand.3.liste.0,8.cand.3,8,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,6,1.06
8.cand.4.liste.0,8.cand.4,8,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,2,0.35
8.cand.5.liste.0,8.cand.5,8,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.18
8.cand.6.liste.0,8.cand.6,8,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,1,0.18
8.cand.7.liste.0,8.cand.7,8,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
8.cand.8.liste.0,8.cand.8,8,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
9.cand.0.liste.0,9.cand.0,9,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,167,30.64
9.cand.0.liste.1,9.cand.0,9,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,70,12.84
9.cand.0.liste.2,9.cand.0,9,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,22,4.04
9.cand.0.liste.3,9.cand.0,9,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,16,2.94
9.cand.0.liste.4,9.cand.0,9,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,14,2.57
