_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
5.cand.4,5,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,0.33,2,0.34
5.cand.5,5,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.16,1,0.17
5.cand.6,5,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.16,1,0.17
5.cand.7,5,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
5.cand.8,5,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0
6.cand.0,6,BUCCI,MARCO,,19591031000000,GENOVA,8,,,269,50.66,253,49.90
6.cand.1,6,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,255,48.02,247,48.72
6.cand.2,6,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.56,3,0.59
6.cand.3,6,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,0.38,2,0.39
6.cand.4,6,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.19,1,0.20
6.cand.5,6,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.19,1,0.20
6.cand.6,6,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
6.cand.7,6,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
6.cand.8,6,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
7.cand.0,7,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,285,55.13,279,58.13
7.cand.1,7,BUCCI,MARCO,,19591031000000,GENOVA,8,,,219,42.36,192,40.00
7.cand.2,7,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,5,0.97,5,1.04
7.cand.3,7,MORRA,NICOLA,,19630705000000,GENOVA,7,,,3,0.58,1,0.21
7.cand.4,7,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,2,0.39,2,0.42
7.cand.5,7,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.19,0,0
7.cand.6,7,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.19,0,0
7.cand.7,7,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.19,1,0.21
7.cand.8,7,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
8.cand.0,8,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,332,55.43,323,57.07
8.cand.1,8,BUCCI,MARCO,,19591031000000,GENOVA,8,,,246,41.07,223,39.40
8.cand.2,8,MORRA,NICOLA,,19630705000000,GENOVA,7,,,10,1.67,10,1.77
8.cand.3,8,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,6,1.00,6,1.06
8.cand.4,8,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,0.50,2,0.35
8.cand.5,8,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.17,1,0.18
8.cand.6,8,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.17,1,0.18
8.cand.7,8,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
8.cand.8,8,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
9.cand.0,9,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,315,54.22,301,55.23
9.cand.1,9,BUCCI,MARCO,,19591031000000,GENOVA,8,,,249,42.86,227,41.65
9.cand.2,9,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,5,0.86,5,0.92
9.cand.3,9,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,4,0.69,4,0.73
9.cand.4,9,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,3,0.52,3,0.55
9.cand.5,9,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.52,3,0.55
9.cand.6,9,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,2,0.34,2,0.37
9.cand.7,9,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
9.cand.8,9,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0
10.cand.0,10,BUCCI,MARCO,,19591031000000,GENOVA,8,,,178,64.49,165,63.95
10.cand.1,10,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,91,32.97,87,33.72
10.cand.2,10,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,2,0.72,2,0.78
10.cand.3,10,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,2,0.72,2,0.78
10.cand.4,10,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,0.72,1,0.39
10.cand.5,10,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.36,1,0.39
10.cand.6,10,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
10.cand.7,10,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0
10.cand.8,10,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
11.cand.0,11,BUCCI,MARCO,,19591031000000,GENOVA,8,,,257,58.14,243,57.58
11.cand.1,11,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,165,37.33,161,38.15
11.cand.2,11,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,6,1.36,5,1.18
11.cand.3,11,MORRA,NICOLA,,19630705000000,GENOVA,7,,,5,1.13,5,1.18
11.cand.4,11,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,4,0.90,3,0.71
11.cand.5,11,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.68,3,0.71
11.cand.6,11,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,2,0.45,2,0.47
11.cand.7,11,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
11.cand.8,11,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
12.cand.0,12,BUCCI,MARCO,,19591031000000,GENOVA,8,,,226,64.39,215,63.80
12.cand.1,12,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,112,31.91,108,32.05
12.cand.2,12,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,8,2.28,8,2.37
12.cand.3,12,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,3,0.85,4,1.19
12.cand.4,12,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.28,1,0.30
12.cand.5,12,MORRA,NICOLA,,19630705000000,GENOVA,7,,,1,0.28,1,0.30
12.cand.6,12,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
12.cand.7,12,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
12.cand.8,12,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0
13.cand.0,13,BUCCI,MARCO,,19591031000000,GENOVA,8,,,178,52.20,168,51.69
13.cand.1,13,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,150,43.99,144,44.31
13.cand.2,13,MORRA,NICOLA,,19630705000000,GENOVA,7,,,5,1.47,5,1.54
13.cand.3,13,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.88,3,0.92
13.cand.4,13,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,0.88,3,0.92
13.cand.5,13,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.29,1,0.31
13.cand.6,13,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.29,1,0.31
13.cand.7,13,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
13.cand.8,13,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
14.cand.0,14,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,74,49.01,68,49.64
14.cand.1,14,BUCCI,MARCO,,19591031000000,GENOVA,8,,,64,42.38,60,43.80
14.cand.2,14,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,4,2.65,2,1.46
14.cand.3,14,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,3,1.99,2,1.46
14.cand.4,14,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,1.32,2,1.46
14.cand.5,14,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,1.32,2,1.46
14.cand.6,14,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.66,1,0.73
14.cand.7,14,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.66,0,0
14.cand.8,14,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,0,0,0,0
15.cand.0,15,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,78,57.35,75,58.14
15.cand.1,15,BUCCI,MARCO,,19591031000000,GENOVA,8,,,52,38.24,48,37.21
15.cand.2,15,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,2.21,3,2.33
15.cand.3,15,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,1.47,1,0.78
15.cand.4,15,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.74,1,0.78
15.cand.5,15,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
15.cand.6,15,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,0,0,0,0
15.cand.7,15,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,1,0.78
15.cand.8,15,MORRA,NICOLA,,19630705000000,GENOVA,7,,,0,0,0,0
16.cand.0,16,BUCCI,MARCO,,19591031000000,GENOVA,8,,,164,52.23,151,51.19
16.cand.1,16,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,140,44.59,134,45.42
16.cand.2,16,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,3,0.96,2,0.68
16.cand.3,16,MORRA,NICOLA,,19630705000000,GENOVA,7,,,3,0.96,3,1.02
16.cand.4,16,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,0.64,3,1.02
16.cand.5,16,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.32,1,0.34
16.cand.6,16,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.32,1,0.34
16.cand.7,16,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
16.cand.8,16,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
17.cand.0,17,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,282,56.18,275,55.78
17.cand.1,17,BUCCI,MARCO,,19591031000000,GENOVA,8,,,207,41.24,205,41.58
17.cand.2,17,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,4,0.80,4,0.81
17.cand.3,17,MORRA,NICOLA,,19630705000000,GENOVA,7,,,4,0.80,4,0.81
17.cand.4,17,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,0.40,2,0.41
17.cand.5,17,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,2,0.40,2,0.41
17.cand.6,17,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.20,1,0.20
17.cand.7,17,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
17.cand.8,17,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
18.cand.0,18,BUCCI,MARCO,,19591031000000,GENOVA,8,,,276,49.64,256,49.04
18.cand.1,18,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,264,47.48,249,47.70
18.cand.2,18,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,5,0.90,5,0.96
18.cand.3,18,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,4,0.72,4,0.77
18.cand.4,18,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.54,4,0.77
18.cand.5,18,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,0.36,3,0.57
18.cand.6,18,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.18,0,0
18.cand.7,18,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,0.18,1,0.19
18.cand.8,18,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
19.cand.0,19,BUCCI,MARCO,,19591031000000,GENOVA,8,,,298,55.81,277,54.85
19.cand.1,19,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,222,41.57,216,42.77
19.cand.2,19,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,4,0.75,1,0.20
19.cand.3,19,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,3,0.56,2,0.40
19.cand.4,19,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,3,0.56,3,0.59
