minint_elettorale,_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras,com_istat_code
1070370200,86,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CIPRESSA,200,IMPERIA,37,489,496,985,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,200,37,SZ,008021
1070370210,87,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CIVEZZA,210,IMPERIA,37,229,243,472,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,210,37,SZ,008022
1070370220,88,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSIO D'ARROSCIA,220,IMPERIA,37,69,83,152,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,220,37,SZ,008023
1070370221,89,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSTARAINERA,221,IMPERIA,37,318,331,649,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,221,37,SZ,008024
1070370230,90,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO ARENTINO,230,IMPERIA,37,334,300,634,100,111,211,33.28,1,1,1,N,3,8,0,200,187,,20241028171248,20200920000000,7,37,230,37,SZ,008025
1070370240,91,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO CASTELLO,240,IMPERIA,37,907,948,1855,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,240,37,SZ,008026
1070370250,92,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO MARINA,250,IMPERIA,37,2395,2753,5148,0,0,0,0,3,3,7,N,0,0,0,803,770,,20241028173910,20200920000000,7,37,250,37,SZ,008027
1070370260,93,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO SAN PIETRO,260,IMPERIA,37,439,450,889,201,184,385,43.31,1,1,1,N,7,2,0,376,360,,20241028175608,20200920000000,7,37,260,37,SZ,008028
1070370270,94,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DOLCEACQUA,270,IMPERIA,37,943,946,1889,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,270,37,SZ,008029
1070370280,95,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DOLCEDO,280,IMPERIA,37,526,492,1018,0,0,0,0,1,1,2,N,0,0,0,66,60,,20241028170549,20200920000000,7,37,280,37,SZ,008030
1070370290,96,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,IMPERIA,290,IMPERIA,37,16462,17849,34311,0,0,0,0,9,9,44,N,0,0,0,2516,2418,,20241028175516,20200920000000,7,37,290,37,SZ,008031
1070370300,97,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ISOLABONA,300,IMPERIA,37,296,289,585,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,300,37,SZ,008032
1070370301,98,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LUCINASCO,301,IMPERIA,37,108,109,217,56,46,102,47.00,1,1,1,N,2,3,0,97,96,,20241028172240,20200920000000,7,37,301,37,SZ,008033
1070370310,99,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MENDATICA,310,IMPERIA,37,89,65,154,61,35,96,62.34,1,1,1,N,0,1,0,95,91,,20241028162701,20200920000000,7,37,310,37,SZ,008034
1070370320,100,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MOLINI DI TRIORA,320,IMPERIA,37,251,227,478,81,81,162,33.89,2,2,2,N,4,1,0,157,155,,20241028164109,20200920000000,7,37,320,37,SZ,008035
1070370340,102,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTEGROSSO PIAN LATTE,340,IMPERIA,37,47,54,101,40,37,77,76.24,1,1,1,N,2,2,0,73,69,,20241028171325,20200920000000,7,37,340,37,SZ,008037
1070370350,103,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,OLIVETTA SAN MICHELE,350,IMPERIA,37,114,98,212,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,350,37,SZ,008038
1070370360,104,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,OSPEDALETTI,360,IMPERIA,37,1399,1485,2884,517,542,1059,36.72,4,4,4,N,5,16,0,1038,973,,20241028175521,20200920000000,7,37,360,37,SZ,008039
1070370370,105,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PERINALDO,370,IMPERIA,37,369,331,700,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,370,37,SZ,008040
1070370380,106,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIETRABRUNA,380,IMPERIA,37,172,141,313,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,380,37,SZ,008041
1070370390,107,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIEVE DI TECO,390,IMPERIA,37,529,529,1058,0,0,0,0,2,2,3,N,0,0,0,212,203,,20241028172800,20200920000000,7,37,390,37,SZ,008042
1070370400,108,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIGNA,400,IMPERIA,37,372,345,717,143,128,271,37.80,2,2,2,N,4,5,0,262,254,,20241028171326,20200920000000,7,37,400,37,SZ,008043
1070370410,109,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,POMPEIANA,410,IMPERIA,37,348,348,696,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,410,37,SZ,008044
1070370420,110,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PONTEDASSIO,420,IMPERIA,37,919,919,1838,0,0,0,0,3,3,4,N,0,0,0,613,604,,20241028173411,20200920000000,7,37,420,37,SZ,008045
1070370430,111,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PORNASSIO,430,IMPERIA,37,257,217,474,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,430,37,SZ,008046
1070370440,112,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PRELA',440,IMPERIA,37,212,189,401,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,440,37,SZ,008047
1070370450,113,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RANZO,450,IMPERIA,37,209,226,435,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,450,37,SZ,008048
1070370460,114,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,REZZO,460,IMPERIA,37,137,127,264,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,460,37,SZ,008049
1070370461,115,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RIVA LIGURE,461,IMPERIA,37,1164,1196,2360,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,37,461,37,SZ,008050
1070370480,116,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROCCHETTA NERVINA,480,IMPERIA,37,109,104,213,53,49,102,47.89,1,1,1,N,0,1,0,101,90,,20241028174534,20200920000000,7,37,480,37,SZ,008051
1070370490,117,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN BARTOLOMEO AL MARE,490,IMPERIA,37,1209,1282,2491,0,0,0,0,1,1,3,N,0,0,0,327,303,,20241028174219,20200920000000,7,37,490,37,SZ,008052
1070370500,118,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN BIAGIO DELLA CIMA,500,IMPERIA,37,543,580,1123,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,500,37,SZ,008053
1070370510,119,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN LORENZO AL MARE,510,IMPERIA,37,501,559,1060,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,510,37,SZ,008054
1070370520,120,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANREMO,520,IMPERIA,37,21824,23884,45708,0,0,0,0,7,7,56,N,0,0,0,1029,969,,20241028175540,20200920000000,7,37,520,37,SZ,008055
1070370521,121,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANTO STEFANO AL MARE,521,IMPERIA,37,874,893,1767,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,521,37,SZ,008056
1070370530,122,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SEBORGA,530,IMPERIA,37,111,118,229,54,54,108,47.16,1,1,1,N,3,4,0,101,93,,20241028170040,20200920000000,7,37,530,37,SZ,008057
1070370540,123,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SOLDANO,540,IMPERIA,37,412,382,794,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,540,37,SZ,008058
1070370550,124,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TAGGIA,550,IMPERIA,37,5437,6058,11495,0,0,0,0,3,3,15,N,0,0,0,870,830,,20241028175529,20200920000000,7,37,550,37,SZ,008059
1070370560,125,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TERZORIO,560,IMPERIA,37,95,92,187,51,55,106,56.68,1,1,1,N,0,6,0,100,90,,20241028170040,20200920000000,7,37,560,37,SZ,008060
1070370570,126,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TRIORA,570,IMPERIA,37,177,148,325,74,55,129,39.69,1,1,1,N,3,0,0,126,121,,20241028162629,20200920000000,7,37,570,37,SZ,008061
1070370580,127,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VALLEBONA,580,IMPERIA,37,557,536,1093,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,580,37,SZ,008062
1070370590,128,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VALLECROSIA,590,IMPERIA,37,2910,3137,6047,0,0,0,0,0,0,7,N,0,0,0,0,0,,,20200920000000,7,37,590,37,SZ,008063
1070370600,129,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VASIA,600,IMPERIA,37,143,141,284,80,65,145,51.06,2,2,2,N,4,6,0,135,131,,20241028163635,20200920000000,7,37,600,37,SZ,008064
1070370610,130,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VENTIMIGLIA,610,IMPERIA,37,10471,10793,21264,0,0,0,0,15,15,26,N,0,0,0,3941,3785,,20241028175006,20200920000000,7,37,610,37,SZ,008065
1070370620,131,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VESSALICO,620,IMPERIA,37,108,88,196,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,620,37,SZ,008066
1070370630,132,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VILLA FARALDI,630,IMPERIA,37,181,179,360,54,69,123,34.17,1,1,1,N,1,5,0,117,114,,20241028172800,20200920000000,7,37,630,37,SZ,008067
1070370325,101,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTALTO CARPASIO,325,IMPERIA,37,253,219,472,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,325,37,SZ,008068
1070740010,165,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALASSIO,10,SAVONA,74,4409,5013,9422,0,0,0,0,2,2,11,N,0,0,0,672,649,,20241028175202,20200920000000,7,74,10,74,SZ,009001
1070740020,166,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBENGA,20,SAVONA,74,9328,10007,19335,0,0,0,0,0,0,22,N,0,0,0,0,0,,,20200920000000,7,74,20,74,SZ,009002
1070740030,167,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBISSOLA MARINA,30,SAVONA,74,2270,2536,4806,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,74,30,74,SZ,009003
1070740040,168,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBISOLA SUPERIORE,40,SAVONA,74,4170,4690,8860,0,0,0,0,2,2,11,N,0,0,0,795,735,,20241028175319,20200920000000,7,74,40,74,SZ,009004
1070740050,169,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALTARE,50,SAVONA,74,911,966,1877,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,50,74,SZ,009005
1070740060,170,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ANDORA,60,SAVONA,74,3104,3319,6423,0,0,0,0,0,0,7,N,0,0,0,0,0,,,20200920000000,7,74,60,74,SZ,009006
1070740070,171,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ARNASCO,70,SAVONA,74,253,238,491,117,109,226,46.03,1,1,1,N,4,4,0,218,211,,20241028172913,20200920000000,7,74,70,74,SZ,009007
1070740080,172,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BALESTRINO,80,SAVONA,74,310,323,633,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,80,74,SZ,009008
1070740090,173,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BARDINETO,90,SAVONA,74,374,377,751,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,90,74,SZ,009009
1070740100,174,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BERGEGGI,100,SAVONA,74,483,504,987,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,100,74,SZ,009010
1070740110,175,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BOISSANO,110,SAVONA,74,1142,1140,2282,0,0,0,0,1,1,2,N,0,0,0,507,477,,20241028173116,20200920000000,7,74,110,74,SZ,009011
1070740120,176,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGHETTO SANTO SPIRITO,120,SAVONA,74,1852,2077,3929,0,0,0,0,3,3,5,N,0,0,0,778,746,,20241028173548,20200920000000,7,74,120,74,SZ,009012
1070740130,177,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGIO VEREZZI,130,SAVONA,74,993,1082,2075,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,74,130,74,SZ,009013
1070740140,178,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORMIDA,140,SAVONA,74,304,307,611,71,67,138,22.59,1,1,1,N,3,7,0,128,122,,20241028171021,20200920000000,7,74,140,74,SZ,009014
1070740150,179,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CAIRO MONTENOTTE,150,SAVONA,74,5409,5622,11031,0,0,0,0,7,7,14,N,0,0,0,1741,1650,,20241028175813,20200920000000,7,74,150,74,SZ,009015
1070740160,180,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CALICE LIGURE,160,SAVONA,74,885,912,1797,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,74,160,74,SZ,009016
1070740170,181,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CALIZZANO,170,SAVONA,74,749,777,1526,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,170,74,SZ,009017
1070740180,182,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARCARE,180,SAVONA,74,2165,2516,4681,0,0,0,0,0,0,6,N,0,0,0,0,0,,,20200920000000,7,74,180,74,SZ,009018
1070740190,183,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASANOVA LERRONE,190,SAVONA,74,279,292,571,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,190,74,SZ,009019
1070740200,184,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELBIANCO,200,SAVONA,74,139,155,294,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,200,74,SZ,009020
1070740210,185,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELVECCHIO DI ROCCA BARBENA,210,SAVONA,74,93,65,158,41,33,74,46.84,1,1,1,N,0,0,0,74,74,,20241028165031,20200920000000,7,74,210,74,SZ,009021
1070740220,186,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CELLE LIGURE,220,SAVONA,74,2186,2350,4536,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,74,220,74,SZ,009022
