_link_cand,_link,_link_main,pos,desc_lis_c,img_lis_c,voti,perc,cogn,nome,com_istat_code
1.cand.1,1.cand.1.liste.1,1,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,47,4.62,ORLANDO,ANDREA,010002
1.cand.1,1.cand.1.liste.5,1,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,5,0.49,ORLANDO,ANDREA,010002
1.cand.8,1.cand.8.liste.0,1,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0,FELICE,DAVIDE,010002
1.cand.5,1.cand.5.liste.0,1,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,6,0.59,CELLA,MARIA ANTONIETTA,010002
1.cand.4,1.cand.4.liste.0,1,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,6,0.59,FERRANDO,MARCO GIUSEPPE,010002
2.cand.0,2.cand.0.liste.2,2,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,89,10.05,BUCCI,MARCO,010003
2.cand.0,2.cand.0.liste.0,2,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,147,16.59,BUCCI,MARCO,010003
2.cand.0,2.cand.0.liste.3,2,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,59,6.66,BUCCI,MARCO,010003
2.cand.1,2.cand.1.liste.2,2,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,63,7.11,ORLANDO,ANDREA,010003
2.cand.1,2.cand.1.liste.0,2,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,219,24.72,ORLANDO,ANDREA,010003
