table_name,field_name,field_type,field_title,count
main,_link,text,_link,234
main,note,boolean,note,234
main,int_st,text,int_st,234
main,int_t_ele,text,int_t_ele,234
main,int_f_elet,text,int_f_elet,234
main,int_dt_ele,number,int_dt_ele,234
main,int_l_terr,text,int_l_terr,234
main,int_area,text,int_area,234
main,int_desc_com,text,int_desc_com,234
main,int_cod_com,number,int_cod_com,234
main,int_desc_prov,text,int_desc_prov,234
main,int_cod_prov,number,int_cod_prov,234
main,int_ele_m,number,int_ele_m,234
main,int_ele_f,number,int_ele_f,234
main,int_ele_t,number,int_ele_t,234
main,int_vot_m,number,int_vot_m,234
main,int_vot_f,number,int_vot_f,234
main,int_vot_t,number,int_vot_t,234
main,int_perc_vot,text,int_perc_vot,234
main,int_sz_pres,number,int_sz_pres,234
main,int_sz_cons,number,int_sz_cons,234
main,int_sz_tot,number,int_sz_tot,234
main,int_fine_rip,text,int_fine_rip,234
main,int_sk_bianche,number,int_sk_bianche,234
main,int_sk_nulle,number,int_sk_nulle,234
main,int_sk_contestate,number,int_sk_contestate,234
main,int_tot_vot_cand,number,int_tot_vot_cand,234
main,int_tot_vot_lis,number,int_tot_vot_lis,234
main,int_non_valid,boolean,int_non_valid,234
main,int_dt_agg,number,int_dt_agg,234
main,int_data_prec_elez,number,int_data_prec_elez,234
main,int_reg_sto,number,int_reg_sto,234
main,int_prov_sto,number,int_prov_sto,234
main,int_comu_sto,number,int_comu_sto,234
main,int_circ_sto,number,int_circ_sto,234
main,int_tipo_tras,text,int_tipo_tras,234
cand,_link,text,_link,2106
cand,_link_main,text,_link_main,2106
cand,cogn,text,cogn,2106
cand,nome,text,nome,2106
cand,a_nome,boolean,a_nome,2106
cand,d_nasc,number,d_nasc,2106
cand,l_nasc,text,l_nasc,2106
cand,pos,number,pos,2106
cand,desc_lis_r,boolean,desc_lis_r,2106
cand,img_lis_r,boolean,img_lis_r,2106
cand,voti,number,voti,2106
cand,perc,text,perc,2106
cand,tot_vot_lis,number,tot_vot_lis,2106
cand,perc_lis,text,perc_lis,2106
cand_liste,_link,text,_link,4680
cand_liste,_link_cand,text,_link_cand,4680
cand_liste,_link_main,text,_link_main,4680
cand_liste,pos,number,pos,4680
cand_liste,desc_lis_c,text,desc_lis_c,4680
cand_liste,img_lis_c,text,img_lis_c,4680
cand_liste,voti,number,voti,4680
cand_liste,perc,text,perc,4680
