_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
0.cand.0,0,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,2911,"51,02",2827,"52,81"
0.cand.1,0,BUCCI,MARCO,,19591031000000,GENOVA,8,,,2647,"46,39",2408,"44,98"
0.cand.2,0,MORRA,NICOLA,,19630705000000,GENOVA,7,,,41,"0,72",35,"0,65"
0.cand.3,0,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,37,"0,65",31,"0,58"
0.cand.4,0,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,21,"0,37",17,"0,32"
0.cand.5,0,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,16,"0,28",9,"0,17"
0.cand.6,0,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,16,"0,28",14,"0,26"
0.cand.7,0,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,14,"0,25",8,"0,15"
0.cand.8,0,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,3,"0,05",4,"0,07"
1.cand.0,1,BUCCI,MARCO,,19591031000000,GENOVA,8,,,661,"61,83",623,"61,26"
1.cand.1,1,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,368,"34,42",356,"35,00"
1.cand.2,1,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,15,"1,40",14,"1,38"
1.cand.3,1,MORRA,NICOLA,,19630705000000,GENOVA,7,,,8,"0,75",7,"0,69"
1.cand.4,1,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,6,"0,56",6,"0,59"
1.cand.5,1,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,5,"0,47",6,"0,59"
1.cand.6,1,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,4,"0,37",3,"0,29"
1.cand.7,1,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,2,"0,19",2,"0,20"
1.cand.8,1,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
2.cand.0,2,BUCCI,MARCO,,19591031000000,GENOVA,8,,,406,"50,37",379,"50,07"
2.cand.1,2,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,364,"45,16",346,"45,71"
2.cand.2,2,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,10,"1,24",7,"0,92"
2.cand.3,2,MORRA,NICOLA,,19630705000000,GENOVA,7,,,10,"1,24",10,"1,32"
2.cand.4,2,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,6,"0,74",6,"0,79"
2.cand.5,2,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,5,"0,62",4,"0,53"
2.cand.6,2,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,2,"0,25",2,"0,26"
2.cand.7,2,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,"0,25",2,"0,26"
2.cand.8,2,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,1,"0,12",1,"0,13"
3.cand.0,3,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,1035,"48,52",988,"49,11"
3.cand.1,3,BUCCI,MARCO,,19591031000000,GENOVA,8,,,1029,"48,24",959,"47,66"
3.cand.2,3,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,18,"0,84",17,"0,84"
3.cand.3,3,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,13,"0,61",12,"0,60"
3.cand.4,3,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,12,"0,56",6,"0,30"
3.cand.5,3,MORRA,NICOLA,,19630705000000,GENOVA,7,,,12,"0,56",15,"0,75"
3.cand.6,3,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,7,"0,33",8,"0,40"
3.cand.7,3,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,6,"0,28",6,"0,30"
3.cand.8,3,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,"0,05",1,"0,05"
4.cand.0,4,BUCCI,MARCO,,19591031000000,GENOVA,8,,,208,"56,37",201,"57,26"
4.cand.1,4,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,110,"29,81",107,"30,48"
4.cand.2,4,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,36,"9,76",31,"8,83"
4.cand.3,4,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,6,"1,63",4,"1,14"
4.cand.4,4,MORRA,NICOLA,,19630705000000,GENOVA,7,,,3,"0,81",3,"0,85"
4.cand.5,4,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,"0,54",2,"0,57"
4.cand.6,4,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,"0,54",2,"0,57"
