_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras
106,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIETRABRUNA,380,IMPERIA,37,172,141,313,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,380,37,SZ
107,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIEVE DI TECO,390,IMPERIA,37,529,529,1058,205,223,428,"40,45",3,3,3,N,8,11,0,409,385,,20241028182614,20200920000000,7,37,390,37,SZ
108,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIGNA,400,IMPERIA,37,372,345,717,143,128,271,"37,80",2,2,2,N,4,5,0,262,254,,20241028171326,20200920000000,7,37,400,37,SZ
109,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,POMPEIANA,410,IMPERIA,37,348,348,696,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,410,37,SZ
110,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PONTEDASSIO,420,IMPERIA,37,919,919,1838,470,453,923,"50,22",4,4,4,N,8,38,0,877,856,,20241028182343,20200920000000,7,37,420,37,SZ
111,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PORNASSIO,430,IMPERIA,37,257,217,474,98,79,177,"37,34",1,1,1,N,4,7,0,166,154,,20241028182615,20200920000000,7,37,430,37,SZ
112,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PRELA',440,IMPERIA,37,212,189,401,94,69,163,"40,65",1,1,1,N,4,6,0,153,146,,20241028182240,20200920000000,7,37,440,37,SZ
113,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RANZO,450,IMPERIA,37,209,226,435,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,450,37,SZ
114,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,REZZO,460,IMPERIA,37,137,127,264,72,65,137,"51,89",1,1,1,N,0,4,0,133,126,,20241028184751,20200920000000,7,37,460,37,SZ
115,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RIVA LIGURE,461,IMPERIA,37,1164,1196,2360,0,0,0,0,2,2,3,N,0,0,0,554,519,,20241028185434,20200920000000,7,37,461,37,SZ
116,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROCCHETTA NERVINA,480,IMPERIA,37,109,104,213,53,49,102,"47,89",1,1,1,N,0,1,0,101,90,,20241028174534,20200920000000,7,37,480,37,SZ
117,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN BARTOLOMEO AL MARE,490,IMPERIA,37,1209,1282,2491,0,0,0,0,2,2,3,N,0,0,0,697,651,,20241028183603,20200920000000,7,37,490,37,SZ
118,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN BIAGIO DELLA CIMA,500,IMPERIA,37,543,580,1123,203,216,419,"37,31",1,1,1,N,2,13,0,404,399,,20241028185816,20200920000000,7,37,500,37,SZ
119,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN LORENZO AL MARE,510,IMPERIA,37,501,559,1060,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,510,37,SZ
120,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANREMO,520,IMPERIA,37,21824,23884,45708,0,0,0,0,13,13,56,N,0,0,0,2568,2384,,20241028185434,20200920000000,7,37,520,37,SZ
121,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANTO STEFANO AL MARE,521,IMPERIA,37,874,893,1767,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,37,521,37,SZ
122,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SEBORGA,530,IMPERIA,37,111,118,229,54,54,108,"47,16",1,1,1,N,3,4,0,101,93,,20241028170040,20200920000000,7,37,530,37,SZ
123,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SOLDANO,540,IMPERIA,37,412,382,794,158,159,317,"39,92",1,1,1,N,4,15,0,298,282,,20241028184424,20200920000000,7,37,540,37,SZ
124,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TAGGIA,550,IMPERIA,37,5437,6058,11495,0,0,0,0,11,11,15,N,0,0,0,3103,2969,,20241028184704,20200920000000,7,37,550,37,SZ
125,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TERZORIO,560,IMPERIA,37,95,92,187,51,55,106,"56,68",1,1,1,N,0,6,0,100,90,,20241028170040,20200920000000,7,37,560,37,SZ
126,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TRIORA,570,IMPERIA,37,177,148,325,74,55,129,"39,69",1,1,1,N,3,0,0,126,121,,20241028162629,20200920000000,7,37,570,37,SZ
127,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VALLEBONA,580,IMPERIA,37,557,536,1093,202,188,390,"35,68",1,1,1,N,3,15,0,372,356,,20241028185216,20200920000000,7,37,580,37,SZ
128,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VALLECROSIA,590,IMPERIA,37,2910,3137,6047,0,0,0,0,6,6,7,N,0,0,0,2075,2030,,20241028185434,20200920000000,7,37,590,37,SZ
129,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VASIA,600,IMPERIA,37,143,141,284,80,65,145,"51,06",2,2,2,N,4,6,0,135,131,,20241028163635,20200920000000,7,37,600,37,SZ
130,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VENTIMIGLIA,610,IMPERIA,37,10471,10793,21264,0,0,0,0,15,15,26,N,0,0,0,3941,3785,,20241028175006,20200920000000,7,37,610,37,SZ
131,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VESSALICO,620,IMPERIA,37,108,88,196,49,41,90,"45,92",1,1,1,N,1,2,0,87,83,,20241028182613,20200920000000,7,37,620,37,SZ
132,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VILLA FARALDI,630,IMPERIA,37,181,179,360,54,69,123,"34,17",1,1,1,N,1,5,0,117,114,,20241028172800,20200920000000,7,37,630,37,SZ
133,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AMEGLIA,10,LA SPEZIA,39,1859,1913,3772,0,0,0,0,1,1,5,N,0,0,0,133,125,,20241028182809,20200920000000,7,39,10,39,SZ
134,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ARCOLA,20,LA SPEZIA,39,4125,4367,8492,0,0,0,0,4,4,11,N,0,0,0,1252,1192,,20241028183118,20200920000000,7,39,20,39,SZ
135,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BEVERINO,30,LA SPEZIA,39,1135,1184,2319,563,542,1105,"47,65",3,3,3,N,18,30,0,1057,993,,20241028185756,20200920000000,7,39,30,39,SZ
136,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BOLANO,40,LA SPEZIA,39,3234,3378,6612,0,0,0,0,5,5,8,N,0,0,0,1609,1544,,20241028185452,20200920000000,7,39,40,39,SZ
137,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BONASSOLA,50,LA SPEZIA,39,353,407,760,186,206,392,"51,58",2,2,2,N,3,19,0,370,351,,20241028184648,20200920000000,7,39,50,39,SZ
138,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGHETTO DI VARA,60,LA SPEZIA,39,569,568,1137,209,219,428,"37,64",4,4,4,N,6,17,0,405,391,,20241028185452,20200920000000,7,39,60,39,SZ
139,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BRUGNATO,70,LA SPEZIA,39,579,596,1175,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,39,70,39,SZ
140,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CALICE AL CORNOVIGLIO,80,LA SPEZIA,39,706,678,1384,221,202,423,"30,56",2,2,2,N,7,6,0,410,400,,20241028181649,20200920000000,7,39,80,39,SZ
141,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARRO,90,LA SPEZIA,39,314,311,625,123,117,240,"38,40",2,2,2,N,2,8,0,230,225,,20241028172901,20200920000000,7,39,90,39,SZ
142,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARRODANO,100,LA SPEZIA,39,278,275,553,114,123,237,"42,86",2,2,2,N,3,8,0,226,210,,20241028172459,20200920000000,7,39,100,39,SZ
143,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELNUOVO MAGRA,110,LA SPEZIA,39,3498,3662,7160,0,0,0,0,6,6,11,N,0,0,0,1405,1361,,20241028190437,20200920000000,7,39,110,39,SZ
144,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DEIVA MARINA,120,LA SPEZIA,39,814,824,1638,0,0,0,0,2,2,3,N,0,0,0,296,283,,20241028182210,20200920000000,7,39,120,39,SZ
145,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FOLLO,130,LA SPEZIA,39,2613,2697,5310,0,0,0,0,1,1,7,N,0,0,0,295,287,,20241028184648,20200920000000,7,39,130,39,SZ
146,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FRAMURA,140,LA SPEZIA,39,348,353,701,0,0,0,0,1,1,2,N,0,0,0,171,162,,20241028173304,20200920000000,7,39,140,39,SZ
147,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LA SPEZIA,150,LA SPEZIA,39,35377,39021,74398,0,0,0,0,46,46,96,N,0,0,0,16022,15343,,20241028190440,20200920000000,7,39,150,39,SZ
148,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LERICI,160,LA SPEZIA,39,4245,4583,8828,0,0,0,0,3,3,13,N,0,0,0,766,734,,20241028190437,20200920000000,7,39,160,39,SZ
149,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LEVANTO,170,LA SPEZIA,39,2333,2511,4844,0,0,0,0,3,3,6,N,0,0,0,1149,1085,,20241028190437,20200920000000,7,39,170,39,SZ
150,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MAISSANA,180,LA SPEZIA,39,339,269,608,131,101,232,"38,16",1,1,1,N,4,10,0,218,214,,20241028181542,20200920000000,7,39,180,39,SZ
151,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTEROSSO AL MARE,190,LA SPEZIA,39,937,1043,1980,0,0,0,0,1,1,2,N,0,0,0,284,270,,20241028190440,20200920000000,7,39,190,39,SZ
152,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LUNI,200,LA SPEZIA,39,3467,3532,6999,0,0,0,0,3,3,8,N,0,0,0,947,926,,20241028190437,20200920000000,7,39,200,39,SZ
153,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIGNONE,210,LA SPEZIA,39,479,474,953,161,135,296,"31,06",2,2,2,N,6,8,0,282,273,,20241028184102,20200920000000,7,39,210,39,SZ
154,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PORTOVENERE,220,LA SPEZIA,39,1632,1592,3224,0,0,0,0,3,3,4,N,0,0,0,1152,1116,,20241028184307,20200920000000,7,39,220,39,SZ
155,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RICCO' DEL GOLFO DI SPEZIA,230,LA SPEZIA,39,1662,1715,3377,0,0,0,0,3,3,5,N,0,0,0,680,656,,20241028181445,20200920000000,7,39,230,39,SZ
156,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RIOMAGGIORE,240,LA SPEZIA,39,753,739,1492,0,0,0,0,3,2,3,N,0,0,0,705,603,,20241028184822,20200920000000,7,39,240,39,SZ
157,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROCCHETTA DI VARA,250,LA SPEZIA,39,374,324,698,187,134,321,"45,99",3,3,3,N,8,8,0,305,269,,20241028181757,20200920000000,7,39,250,39,SZ
158,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANTO STEFANO DI MAGRA,260,LA SPEZIA,39,4016,4153,8169,0,0,0,0,4,4,9,N,0,0,0,1458,1412,,20241028184325,20200920000000,7,39,260,39,SZ
159,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SARZANA,270,LA SPEZIA,39,8922,9612,18534,0,0,0,0,11,11,24,N,0,0,0,3653,3527,,20241028183647,20200920000000,7,39,270,39,SZ
160,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SESTA GODANO,280,LA SPEZIA,39,801,806,1607,0,0,0,0,1,1,2,N,0,0,0,257,243,,20241028181253,20200920000000,7,39,280,39,SZ
161,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VARESE LIGURE,290,LA SPEZIA,39,1013,1006,2019,0,0,0,0,1,1,3,N,0,0,0,273,259,,20241028183354,20200920000000,7,39,290,39,SZ
162,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VERNAZZA,300,LA SPEZIA,39,461,466,927,0,0,0,0,1,1,2,N,0,0,0,127,123,,20241028181233,20200920000000,7,39,300,39,SZ
163,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VEZZANO LIGURE,310,LA SPEZIA,39,2923,3145,6068,0,0,0,0,8,8,10,N,0,0,0,2143,2047,,20241028190439,20200920000000,7,39,310,39,SZ
164,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ZIGNAGO,320,LA SPEZIA,39,228,211,439,137,118,255,"58,09",1,1,1,N,6,20,0,229,217,,20241028170316,20200920000000,7,39,320,39,SZ
165,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALASSIO,10,SAVONA,74,4409,5013,9422,0,0,0,0,3,3,11,N,0,0,0,1060,1024,,20241028190038,20200920000000,7,74,10,74,SZ
166,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBENGA,20,SAVONA,74,9328,10007,19335,0,0,0,0,8,8,22,N,0,0,0,2789,2678,,20241028181120,20200920000000,7,74,20,74,SZ
167,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBISSOLA MARINA,30,SAVONA,74,2270,2536,4806,0,0,0,0,1,1,5,N,0,0,0,413,397,,20241028180429,20200920000000,7,74,30,74,SZ
168,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALBISOLA SUPERIORE,40,SAVONA,74,4170,4690,8860,0,0,0,0,3,3,11,N,0,0,0,1080,993,,20241028184040,20200920000000,7,74,40,74,SZ
169,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ALTARE,50,SAVONA,74,911,966,1877,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,50,74,SZ
170,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ANDORA,60,SAVONA,74,3104,3319,6423,0,0,0,0,5,5,7,N,0,0,0,1957,1861,,20241028190040,20200920000000,7,74,60,74,SZ
171,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ARNASCO,70,SAVONA,74,253,238,491,117,109,226,"46,03",1,1,1,N,4,4,0,218,211,,20241028172913,20200920000000,7,74,70,74,SZ
172,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BALESTRINO,80,SAVONA,74,310,323,633,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,80,74,SZ
173,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BARDINETO,90,SAVONA,74,374,377,751,132,149,281,"37,42",1,1,1,N,4,5,0,272,259,,20241028183900,20200920000000,7,74,90,74,SZ
174,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BERGEGGI,100,SAVONA,74,483,504,987,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,100,74,SZ
175,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BOISSANO,110,SAVONA,74,1142,1140,2282,520,522,1042,"45,66",2,2,2,N,10,34,0,998,940,,20241028180443,20200920000000,7,74,110,74,SZ
176,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGHETTO SANTO SPIRITO,120,SAVONA,74,1852,2077,3929,0,0,0,0,4,4,5,N,0,0,0,1080,1030,,20241028190038,20200920000000,7,74,120,74,SZ
177,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGIO VEREZZI,130,SAVONA,74,993,1082,2075,0,0,0,0,1,1,3,N,0,0,0,66,63,,20241028181635,20200920000000,7,74,130,74,SZ
178,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORMIDA,140,SAVONA,74,304,307,611,71,67,138,"22,59",1,1,1,N,3,7,0,128,122,,20241028171021,20200920000000,7,74,140,74,SZ
179,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CAIRO MONTENOTTE,150,SAVONA,74,5409,5622,11031,0,0,0,0,11,11,14,N,0,0,0,2638,2507,,20241028181718,20200920000000,7,74,150,74,SZ
180,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CALICE LIGURE,160,SAVONA,74,885,912,1797,0,0,0,0,2,2,3,N,0,0,0,419,384,,20241028190040,20200920000000,7,74,160,74,SZ
181,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CALIZZANO,170,SAVONA,74,749,777,1526,0,0,0,0,1,1,2,N,0,0,0,214,199,,20241028180141,20200920000000,7,74,170,74,SZ
182,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARCARE,180,SAVONA,74,2165,2516,4681,0,0,0,0,1,1,6,N,0,0,0,220,214,,20241028180426,20200920000000,7,74,180,74,SZ
183,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASANOVA LERRONE,190,SAVONA,74,279,292,571,114,105,219,"38,35",2,2,2,N,3,14,0,202,188,,20241028190041,20200920000000,7,74,190,74,SZ
184,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELBIANCO,200,SAVONA,74,139,155,294,67,66,133,"45,24",1,1,1,N,0,6,0,127,123,,20241028182827,20200920000000,7,74,200,74,SZ
185,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELVECCHIO DI ROCCA BARBENA,210,SAVONA,74,93,65,158,41,33,74,"46,84",1,1,1,N,0,0,0,74,74,,20241028165031,20200920000000,7,74,210,74,SZ
186,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CELLE LIGURE,220,SAVONA,74,2186,2350,4536,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,74,220,74,SZ
187,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CENGIO,230,SAVONA,74,1346,1444,2790,0,0,0,0,2,2,4,N,0,0,0,550,531,,20241028181137,20200920000000,7,74,230,74,SZ
188,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERIALE,240,SAVONA,74,2206,2403,4609,0,0,0,0,4,4,5,N,0,0,0,1467,1378,,20241028183636,20200920000000,7,74,240,74,SZ
189,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CISANO SUL NEVA,250,SAVONA,74,862,920,1782,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,250,74,SZ
190,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSSERIA,260,SAVONA,74,539,546,1085,230,233,463,"42,67",1,1,1,N,9,21,0,433,414,,20241028183440,20200920000000,7,74,260,74,SZ
191,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DEGO,270,SAVONA,74,1180,1288,2468,315,283,598,"24,23",2,2,2,N,8,15,0,575,544,,20241028172946,20200920000000,7,74,270,74,SZ
192,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ERLI,280,SAVONA,74,156,148,304,52,49,101,"33,22",1,1,1,N,3,7,0,91,85,,20241028180410,20200920000000,7,74,280,74,SZ
193,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FINALE LIGURE,290,SAVONA,74,5077,5544,10621,0,0,0,0,11,11,13,N,0,0,0,3588,3180,,20241028190041,20200920000000,7,74,290,74,SZ
194,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GARLENDA,300,SAVONA,74,576,593,1169,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,300,74,SZ
195,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GIUSTENICE,310,SAVONA,74,457,451,908,207,224,431,"47,47",1,1,1,N,7,11,0,413,390,,20241028172619,20200920000000,7,74,310,74,SZ
196,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GIUSVALLA,320,SAVONA,74,426,466,892,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,320,74,SZ
197,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LAIGUEGLIA,330,SAVONA,74,755,805,1560,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,330,74,SZ
198,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LOANO,340,SAVONA,74,4375,5022,9397,1926,2171,4097,"43,60",10,10,10,N,35,114,0,3948,3730,,20241028182539,20200920000000,7,74,340,74,SZ
199,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MAGLIOLO,350,SAVONA,74,493,503,996,187,187,374,"37,55",1,1,1,N,1,10,0,363,348,,20241028175637,20200920000000,7,74,350,74,SZ
200,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MALLARE,360,SAVONA,74,569,593,1162,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,360,74,SZ
201,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MASSIMINO,370,SAVONA,74,48,54,102,27,26,53,"51,96",1,1,1,N,0,5,0,48,47,,20241028162143,20200920000000,7,74,370,74,SZ
202,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MILLESIMO,380,SAVONA,74,1437,1584,3021,634,637,1271,"42,07",3,3,3,N,15,34,0,1222,1176,,20241028183440,20200920000000,7,74,380,74,SZ
203,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MIOGLIA,390,SAVONA,74,338,349,687,117,99,216,"31,44",1,1,1,N,6,4,0,206,186,,20241028174647,20200920000000,7,74,390,74,SZ
204,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MURIALDO,400,SAVONA,74,428,429,857,154,154,308,"35,94",2,2,2,N,8,4,0,296,283,,20241028175305,20200920000000,7,74,400,74,SZ
205,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,NASINO,410,SAVONA,74,133,105,238,43,33,76,"31,93",1,1,1,N,0,1,0,75,70,,20241028165031,20200920000000,7,74,410,74,SZ
206,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,NOLI,420,SAVONA,74,1181,1232,2413,0,0,0,0,3,3,4,N,0,0,0,673,639,,20241028190041,20200920000000,7,74,420,74,SZ
207,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ONZO,430,SAVONA,74,79,97,176,54,51,105,"59,66",1,1,1,N,0,1,0,104,98,,20241028165838,20200920000000,7,74,430,74,SZ
208,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ORCO FEGLINO,440,SAVONA,74,505,540,1045,212,190,402,"38,47",2,2,2,N,4,11,0,387,362,,20241028183800,20200920000000,7,74,440,74,SZ
209,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ORTOVERO,450,SAVONA,74,641,632,1273,0,0,0,0,1,1,2,N,0,0,0,182,177,,20241028171447,20200920000000,7,74,450,74,SZ
210,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,OSIGLIA,460,SAVONA,74,331,305,636,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,460,74,SZ
211,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PALLARE,470,SAVONA,74,474,482,956,0,0,0,0,1,1,2,N,0,0,0,56,53,,20241028180727,20200920000000,7,74,470,74,SZ
212,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIANA CRIXIA,480,SAVONA,74,360,363,723,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,480,74,SZ
213,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIETRA LIGURE,490,SAVONA,74,3532,3904,7436,0,0,0,0,6,6,11,N,0,0,0,1545,1451,,20241028180624,20200920000000,7,74,490,74,SZ
214,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PLODIO,500,SAVONA,74,284,272,556,133,134,267,"48,02",1,1,1,N,1,12,0,254,244,,20241028190040,20200920000000,7,74,500,74,SZ
215,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PONTINVREA,510,SAVONA,74,437,425,862,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,510,74,SZ
216,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,QUILIANO,520,SAVONA,74,3233,3419,6652,0,0,0,0,7,7,9,N,0,0,0,2117,1982,,20241028190041,20200920000000,7,74,520,74,SZ
217,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RIALTO,530,SAVONA,74,331,341,672,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,530,74,SZ
