_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras
13,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERANESI,140,GENOVA,34,1630,1594,3224,850,842,1692,"52,48",6,6,6,N,8,46,1,1637,1541,,20241028185722,20200920000000,7,34,140,34,SZ
14,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CHIAVARI,150,GENOVA,34,12198,14128,26326,0,0,0,0,12,12,29,N,0,0,0,4365,4128,,20241028174921,20200920000000,7,34,150,34,SZ
15,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CICAGNA,160,GENOVA,34,1028,979,2007,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,34,160,34,SZ
16,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COGOLETO,170,GENOVA,34,3585,3908,7493,0,0,0,0,5,5,10,N,0,0,0,1555,1455,,20241028190116,20200920000000,7,34,170,34,SZ
17,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COGORNO,180,GENOVA,34,2845,2979,5824,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,34,180,34,SZ
18,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COREGLIA LIGURE,190,GENOVA,34,160,141,301,64,56,120,"39,87",1,1,1,N,2,3,0,115,111,,20241028172800,20200920000000,7,34,190,34,SZ
19,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CROCEFIESCHI,200,GENOVA,34,303,249,552,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,200,34,SZ
20,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DAVAGNA,210,GENOVA,34,868,796,1664,0,0,0,0,1,1,2,N,0,0,0,310,297,,20241028184041,20200920000000,7,34,210,34,SZ
21,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FASCIA,220,GENOVA,34,39,40,79,26,17,43,"54,43",1,1,1,N,2,1,0,40,38,,20241028154905,20200920000000,7,34,220,34,SZ
22,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FAVALE DI MALVARO,230,GENOVA,34,354,385,739,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,230,34,SZ
23,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FONTANIGORDA,240,GENOVA,34,124,95,219,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,240,34,SZ
24,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GENOVA,250,GENOVA,34,225668,253210,478878,0,0,0,0,435,435,653,N,0,0,0,146251,136875,,20241028185937,20200920000000,7,34,250,34,SZ
25,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GORRETO,260,GENOVA,34,56,53,109,33,21,54,"49,54",1,1,1,N,1,0,0,53,52,,20241028162406,20200920000000,7,34,260,34,SZ
26,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ISOLA DEL CANTONE,270,GENOVA,34,930,884,1814,315,280,595,"32,80",2,2,2,N,4,12,0,579,556,,20241028184339,20200920000000,7,34,270,34,SZ
27,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LAVAGNA,280,GENOVA,34,5662,6406,12068,0,0,0,0,7,7,11,N,0,0,0,2912,2752,,20241028190117,20200920000000,7,34,280,34,SZ
28,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LEIVI,290,GENOVA,34,1189,1221,2410,0,0,0,0,1,1,2,N,0,0,0,482,452,,20241028183416,20200920000000,7,34,290,34,SZ
29,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LORSICA,300,GENOVA,34,237,254,491,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,300,34,SZ
30,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LUMARZO,310,GENOVA,34,941,925,1866,0,0,0,0,1,1,2,N,0,0,0,234,222,,20241028182233,20200920000000,7,34,310,34,SZ
31,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MASONE,320,GENOVA,34,1632,1659,3291,0,0,0,0,1,1,4,N,0,0,0,401,385,,20241028183532,20200920000000,7,34,320,34,SZ
32,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MELE,330,GENOVA,34,1103,1133,2236,611,609,1220,"54,56",3,3,3,N,9,28,0,1183,1095,,20241028185247,20200920000000,7,34,330,34,SZ
33,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MEZZANEGO,340,GENOVA,34,730,730,1460,292,255,547,"37,47",2,2,2,N,13,33,0,501,479,,20241028182040,20200920000000,7,34,340,34,SZ
34,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MIGNANEGO,350,GENOVA,34,1574,1659,3233,0,0,0,0,2,2,4,N,0,0,0,746,696,,20241028183836,20200920000000,7,34,350,34,SZ
35,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MOCONESI,360,GENOVA,34,1142,1089,2231,0,0,0,0,2,2,3,N,0,0,0,525,513,,20241028180549,20200920000000,7,34,360,34,SZ
36,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONEGLIA,370,GENOVA,34,1489,1554,3043,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,34,370,34,SZ
37,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTEBRUNO,380,GENOVA,34,95,100,195,48,34,82,"42,05",1,1,1,N,2,0,0,80,77,,20241028172333,20200920000000,7,34,380,34,SZ
38,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MONTOGGIO,390,GENOVA,34,943,935,1878,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,34,390,34,SZ
39,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,NE,400,GENOVA,34,1230,1193,2423,0,0,0,0,4,4,5,N,0,0,0,598,579,,20241028184447,20200920000000,7,34,400,34,SZ
