minint_elettorale,comune,comune_codice,codice_sezione,file,com_istat_code
1070370010,AIROLE,10,1,affluenza_comune_037_0010,008001
1070370020,APRICALE,20,1,affluenza_comune_037_0020,008002
1070370030,AQUILA D'ARROSCIA,30,1,affluenza_comune_037_0030,008003
1070370040,ARMO,40,1,affluenza_comune_037_0040,008004
1070370041,AURIGO,41,1,affluenza_comune_037_0041,008005
1070370041,AURIGO,41,2,affluenza_comune_037_0041,008005
1070370050,BADALUCCO,50,1,affluenza_comune_037_0050,008006
1070370050,BADALUCCO,50,2,affluenza_comune_037_0050,008006
1070370060,BAJARDO,60,1,affluenza_comune_037_0060,008007
1070370070,BORDIGHERA,70,1,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,2,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,3,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,4,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,5,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,6,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,7,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,8,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,9,affluenza_comune_037_0070,008008
1070370070,BORDIGHERA,70,10,affluenza_comune_037_0070,008008
1070370080,BORGHETTO D'ARROSCIA,80,1,affluenza_comune_037_0080,008009
1070370090,BORGOMARO,90,1,affluenza_comune_037_0090,008010
1070370090,BORGOMARO,90,2,affluenza_comune_037_0090,008010
1070370090,BORGOMARO,90,3,affluenza_comune_037_0090,008010
1070370100,CAMPOROSSO,100,1,affluenza_comune_037_0100,008011
1070370100,CAMPOROSSO,100,2,affluenza_comune_037_0100,008011
1070370100,CAMPOROSSO,100,3,affluenza_comune_037_0100,008011
1070370100,CAMPOROSSO,100,4,affluenza_comune_037_0100,008011
1070370100,CAMPOROSSO,100,5,affluenza_comune_037_0100,008011
1070370110,CARAVONICA,110,1,affluenza_comune_037_0110,008012
1070370130,CASTELLARO,130,1,affluenza_comune_037_0130,008014
1070370140,CASTEL VITTORIO,140,1,affluenza_comune_037_0140,008015
1070370150,CERIANA,150,1,affluenza_comune_037_0150,008016
1070370150,CERIANA,150,2,affluenza_comune_037_0150,008016
1070370160,CERVO,160,1,affluenza_comune_037_0160,008017
1070370170,CESIO,170,1,affluenza_comune_037_0170,008018
1070370180,CHIUSANICO,180,1,affluenza_comune_037_0180,008019
1070370180,CHIUSANICO,180,2,affluenza_comune_037_0180,008019
1070370180,CHIUSANICO,180,3,affluenza_comune_037_0180,008019
1070370190,CHIUSAVECCHIA,190,1,affluenza_comune_037_0190,008020
1070370200,CIPRESSA,200,1,affluenza_comune_037_0200,008021
1070370210,CIVEZZA,210,1,affluenza_comune_037_0210,008022
1070370220,COSIO D'ARROSCIA,220,1,affluenza_comune_037_0220,008023
1070370221,COSTARAINERA,221,1,affluenza_comune_037_0221,008024
1070370230,DIANO ARENTINO,230,1,affluenza_comune_037_0230,008025
1070370240,DIANO CASTELLO,240,1,affluenza_comune_037_0240,008026
1070370240,DIANO CASTELLO,240,2,affluenza_comune_037_0240,008026
1070370250,DIANO MARINA,250,1,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,2,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,3,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,4,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,5,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,6,affluenza_comune_037_0250,008027
1070370250,DIANO MARINA,250,7,affluenza_comune_037_0250,008027
1070370260,DIANO SAN PIETRO,260,1,affluenza_comune_037_0260,008028
1070370270,DOLCEACQUA,270,1,affluenza_comune_037_0270,008029
1070370270,DOLCEACQUA,270,2,affluenza_comune_037_0270,008029
1070370280,DOLCEDO,280,1,affluenza_comune_037_0280,008030
1070370280,DOLCEDO,280,2,affluenza_comune_037_0280,008030
1070370290,IMPERIA,290,1,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,2,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,3,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,4,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,5,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,6,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,7,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,8,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,9,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,10,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,11,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,12,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,13,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,14,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,15,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,16,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,17,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,18,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,19,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,20,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,21,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,22,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,23,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,24,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,25,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,26,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,27,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,28,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,29,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,30,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,31,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,32,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,33,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,34,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,35,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,36,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,37,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,38,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,39,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,40,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,41,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,42,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,43,affluenza_comune_037_0290,008031
1070370290,IMPERIA,290,44,affluenza_comune_037_0290,008031
1070370300,ISOLABONA,300,1,affluenza_comune_037_0300,008032
1070370301,LUCINASCO,301,1,affluenza_comune_037_0301,008033
1070370310,MENDATICA,310,1,affluenza_comune_037_0310,008034
1070370320,MOLINI DI TRIORA,320,1,affluenza_comune_037_0320,008035
1070370320,MOLINI DI TRIORA,320,2,affluenza_comune_037_0320,008035
1070370340,MONTEGROSSO PIAN LATTE,340,1,affluenza_comune_037_0340,008037
1070370350,OLIVETTA SAN MICHELE,350,1,affluenza_comune_037_0350,008038
1070370360,OSPEDALETTI,360,1,affluenza_comune_037_0360,008039
1070370360,OSPEDALETTI,360,2,affluenza_comune_037_0360,008039
1070370360,OSPEDALETTI,360,3,affluenza_comune_037_0360,008039
1070370360,OSPEDALETTI,360,4,affluenza_comune_037_0360,008039
1070370370,PERINALDO,370,1,affluenza_comune_037_0370,008040
1070370380,PIETRABRUNA,380,1,affluenza_comune_037_0380,008041
1070370390,PIEVE DI TECO,390,1,affluenza_comune_037_0390,008042
1070370390,PIEVE DI TECO,390,2,affluenza_comune_037_0390,008042
1070370390,PIEVE DI TECO,390,3,affluenza_comune_037_0390,008042
1070370400,PIGNA,400,1,affluenza_comune_037_0400,008043
1070370400,PIGNA,400,2,affluenza_comune_037_0400,008043
1070370410,POMPEIANA,410,1,affluenza_comune_037_0410,008044
1070370420,PONTEDASSIO,420,1,affluenza_comune_037_0420,008045
1070370420,PONTEDASSIO,420,2,affluenza_comune_037_0420,008045
1070370420,PONTEDASSIO,420,3,affluenza_comune_037_0420,008045
1070370420,PONTEDASSIO,420,4,affluenza_comune_037_0420,008045
1070370430,PORNASSIO,430,1,affluenza_comune_037_0430,008046
1070370440,PRELA',440,1,affluenza_comune_037_0440,008047
1070370450,RANZO,450,1,affluenza_comune_037_0450,008048
1070370460,REZZO,460,1,affluenza_comune_037_0460,008049
1070370461,RIVA LIGURE,461,1,affluenza_comune_037_0461,008050
1070370461,RIVA LIGURE,461,2,affluenza_comune_037_0461,008050
1070370461,RIVA LIGURE,461,3,affluenza_comune_037_0461,008050
1070370480,ROCCHETTA NERVINA,480,1,affluenza_comune_037_0480,008051
1070370490,SAN BARTOLOMEO AL MARE,490,1,affluenza_comune_037_0490,008052
1070370490,SAN BARTOLOMEO AL MARE,490,2,affluenza_comune_037_0490,008052
1070370490,SAN BARTOLOMEO AL MARE,490,3,affluenza_comune_037_0490,008052
1070370500,SAN BIAGIO DELLA CIMA,500,1,affluenza_comune_037_0500,008053
1070370510,SAN LORENZO AL MARE,510,1,affluenza_comune_037_0510,008054
1070370520,SANREMO,520,1,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,2,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,3,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,4,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,5,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,6,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,7,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,8,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,9,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,10,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,11,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,12,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,13,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,14,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,15,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,16,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,17,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,18,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,19,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,20,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,21,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,22,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,23,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,24,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,25,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,26,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,27,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,28,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,29,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,30,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,31,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,32,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,33,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,34,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,35,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,36,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,37,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,38,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,39,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,40,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,41,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,42,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,43,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,44,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,45,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,46,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,47,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,48,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,49,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,50,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,51,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,52,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,53,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,54,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,55,affluenza_comune_037_0520,008055
1070370520,SANREMO,520,56,affluenza_comune_037_0520,008055
1070370521,SANTO STEFANO AL MARE,521,1,affluenza_comune_037_0521,008056
1070370521,SANTO STEFANO AL MARE,521,2,affluenza_comune_037_0521,008056
1070370530,SEBORGA,530,1,affluenza_comune_037_0530,008057
1070370540,SOLDANO,540,1,affluenza_comune_037_0540,008058
1070370550,TAGGIA,550,1,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,2,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,3,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,4,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,5,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,6,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,7,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,8,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,9,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,10,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,11,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,12,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,13,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,14,affluenza_comune_037_0550,008059
1070370550,TAGGIA,550,15,affluenza_comune_037_0550,008059
1070370560,TERZORIO,560,1,affluenza_comune_037_0560,008060
1070370570,TRIORA,570,1,affluenza_comune_037_0570,008061
1070370580,VALLEBONA,580,1,affluenza_comune_037_0580,008062
1070370590,VALLECROSIA,590,1,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,2,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,3,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,4,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,5,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,6,affluenza_comune_037_0590,008063
1070370590,VALLECROSIA,590,7,affluenza_comune_037_0590,008063
1070370600,VASIA,600,1,affluenza_comune_037_0600,008064
1070370600,VASIA,600,2,affluenza_comune_037_0600,008064
1070370610,VENTIMIGLIA,610,1,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,2,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,3,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,4,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,5,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,6,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,7,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,8,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,9,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,10,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,11,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,12,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,13,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,14,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,15,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,16,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,17,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,18,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,19,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,20,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,21,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,22,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,23,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,24,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,25,affluenza_comune_037_0610,008065
1070370610,VENTIMIGLIA,610,26,affluenza_comune_037_0610,008065
1070370620,VESSALICO,620,1,affluenza_comune_037_0620,008066
1070370630,VILLA FARALDI,630,1,affluenza_comune_037_0630,008067
1070370325,MONTALTO CARPASIO,325,1,affluenza_comune_037_0325,008068
1070370325,MONTALTO CARPASIO,325,2,affluenza_comune_037_0325,008068
1070740010,ALASSIO,10,1,affluenza_comune_074_0010,009001
1070740010,ALASSIO,10,2,affluenza_comune_074_0010,009001
1070740010,ALASSIO,10,3,affluenza_comune_074_0010,009001
